
1,7969591,,,1,Java
1,3831006,,,5,Scala
1,9509217,,,4,Java
2,9509755,,9509217,0,
1,26651903,,,0,PHP
2,26652625,,26651903,0,
1,11341465,,,0,JavaScript
2,11341702,,11341465,0,
1,12278269,,,1,C++
1,886691,,,3,C#
2,988409,,886691,1,
2,886777,,886691,1,
2,888643,,886691,0,
1,24539958,,,0,Objective-C
2,24540514,,24539958,0,
1,1608423,,,2,PHP
2,1608461,,1608423,1,
1,23932483,,,2,Java
1,20701750,,,0,C#
1,19187457,,,0,CSS
2,19187553,,19187457,2,
2,19187567,,19187457,0,
2,19187710,,19187457,0,
2,19188890,,19187457,0,
1,4825714,,,0,Java
2,4825947,,4825714,1,
1,25348546,,,-3,Java
1,11722494,,,1,JavaScript
1,12961226,,,0,C++
1,21589956,,,1,Python
1,10468252,,,0,Python
1,2308958,,,0,JavaScript
2,2308974,,2308958,1,
2,2308980,,2308958,2,
2,2308981,,2308958,2,
2,2309538,,2308958,0,
1,8599297,,,1,MATLAB
1,9113195,,,0,PHP
1,19852319,,,1,JavaScript
1,10032421,,,-3,Java
2,10032915,,10032421,1,
2,10035127,,10032421,1,
1,7104650,,,0,C++
2,7121733,,7104650,0,
1,9054774,,,22,C++
2,9054793,,9054774,8,
2,9054802,,9054774,19,
2,9056283,,9054774,15,
1,24291798,,,0,Python
1,17288516,,,0,Java
1,11402471,,,2,JavaScript
1,16486649,,,2,Java
1,15359589,,,1,C++
2,15360069,,15359589,4,
2,23152413,,15359589,0,
1,26560911,,,1,PHP
1,7220458,,,0,CSS
2,7225442,,7220458,1,
1,3515119,,,2,C++
1,3285054,,,0,PHP
2,3429416,,3285054,0,
1,21702662,,,0,C#
2,21713251,,21702662,2,
1,20829966,,,-1,C#
1,18503466,,,2,Python
2,18517858,,18503466,1,
1,25597223,,,0,JavaScript
2,25597264,,25597223,1,
2,25597275,,25597223,0,
2,25597281,,25597223,1,
1,10386566,,,3,Python
2,10386665,,10386566,5,
2,10386789,,10386566,5,
1,11719392,,,1,Java
1,21278722,,,1,Java
1,12153155,,,1,C++
2,12153182,,12153155,2,
2,12153191,,12153155,0,
1,8403871,,,0,C++
1,17350039,,,1,JavaScript
2,17350238,,17350039,1,
2,17350312,,17350039,0,
1,6272280,,,1,Java
2,6272425,,6272280,0,
1,8810750,,,3,Objective-C
2,8811324,,8810750,3,
2,8812334,,8810750,2,
1,21736784,,,-1,Python
2,21736869,,21736784,1,
2,21736981,,21736784,3,
1,5742355,,,1,Java
1,26403743,,,2,C#
1,25898117,,,-4,Java
1,7631990,,,0,Objective-C
1,13553708,,,0,Java
1,17775530,,,0,PHP
1,19904536,,,0,JavaScript
1,6224199,,,4,JavaScript
2,6224654,,6224199,3,
1,10949579,,,0,JavaScript
2,10949964,,10949579,1,
1,17256979,,,6,Scala
1,17443616,,,0,PHP
2,17443663,,17443616,4,
2,17443665,,17443616,2,
2,17443892,,17443616,0,
1,3356400,,,7,C#
2,3356424,,3356400,22,
2,3356430,,3356400,0,
2,3356433,,3356400,1,
2,3356437,,3356400,11,
1,15164680,,,0,JavaScript
2,15164786,,15164680,1,
2,15164788,,15164680,1,
2,15164879,,15164680,0,
1,6882340,,,0,PHP
2,6882882,,6882340,1,
2,6882960,,6882340,1,
2,6883226,,6882340,1,
1,25859342,,,-1,Objective-C
2,25859384,,25859342,-2,
1,15935527,,,2,C#
1,7800015,,,2,Python
2,7807461,,7800015,0,
1,8369749,,,1,C++
2,11322913,,8369749,1,
1,17641627,,,0,Ruby
1,27946988,,,0,Java
2,27947643,,27946988,2,
1,5271885,,,1,C++
1,13031538,,,10,Java
2,19438620,,13031538,17,
1,8019223,,,0,JavaScript
1,27794990,,,2,Java
2,27795696,,27794990,0,
1,21187730,,,1,C++
2,21199946,,21187730,1,
1,13128734,,,1,Python
2,13186819,,13128734,0,
2,13187880,,13128734,2,
2,13195848,,13128734,0,
1,25234289,,,-1,JavaScript
2,25235802,,25234289,0,
1,21259076,,,0,Java
1,25635998,,,0,PHP
1,3820666,,,66,PHP
2,3820692,,3820666,2,
2,3820700,,3820666,1,
2,3820715,,3820666,1,
2,3820716,,3820666,1,
2,3820783,,3820666,116,
2,3821260,,3820666,12,
1,2542642,,,1,Python
2,2542662,,2542642,2,
2,2542759,,2542642,2,
2,2544020,,2542642,1,
1,26760990,,,-1,JavaScript
2,26782785,,26760990,0,
2,26784452,,26760990,0,
1,15492458,,,1,PHP
2,15492595,,15492458,0,
2,15493604,,15492458,1,
1,20246273,,,1,C++
2,20246358,,20246273,3,
2,20246383,,20246273,2,
1,11690957,,,0,C#
1,24959762,,,0,JavaScript
1,20418951,,,0,CSS
2,20421096,,20418951,0,
1,26371689,,,0,JavaScript
2,26371998,,26371689,1,
1,21091568,,,1,Python
1,12898669,,,0,CSS
2,12898791,,12898669,0,
2,12900468,,12898669,0,
2,12900673,,12898669,0,
1,26597618,,,0,JavaScript
2,26597805,,26597618,0,
1,19088710,,,0,C++
2,19092372,,19088710,0,
1,26192807,,,1,JavaScript
2,26192870,,26192807,3,
2,26192956,,26192807,1,
1,2072172,,,7,Java
2,2075541,,2072172,3,
2,2078569,,2072172,0,
2,8911101,,2072172,2,
1,13323643,,,0,C#
1,6134758,,,8,PHP
1,8883130,,,1,JavaScript
2,8883187,,8883130,0,
2,8883206,,8883130,0,
2,8883210,,8883130,1,
1,27866336,,,1,JavaScript
2,27866612,,27866336,1,
1,6168880,,,30,Haskell
2,6168907,,6168880,11,
2,6169137,,6168880,18,
2,6172391,,6168880,1,
2,6174983,,6168880,5,
2,6298414,,6168880,10,
1,18012316,,,0,Java
1,28383336,,,0,C++
1,28736964,,,0,JavaScript
1,16080287,,,0,Java
2,16080376,,16080287,1,
2,16083789,,16080287,0,
1,22688581,,,0,JavaScript
1,27278507,,,0,Java
1,2573145,,,25,JavaScript
1,14307494,,,12,Objective-C
1,20434978,,,1,Python
2,20435572,,20434978,0,
1,3297979,,,0,JavaScript
2,3297996,,3297979,1,
2,3298007,,3297979,1,
1,1322005,,,0,Java
2,1322720,,1322005,1,
1,8612222,,,2,Java
1,3090662,,,54,JavaScript
2,3090687,,3090662,3,
2,3090690,,3090662,82,
2,18029553,,3090662,0,
1,18609968,,,6,C++
2,18610399,,18609968,2,
2,18610489,,18609968,2,
2,18611736,,18609968,3,
1,10990939,,,2,Java
2,12406565,,10990939,1,
1,10494102,,,2,JavaScript
2,10494616,,10494102,0,
2,10494773,,10494102,0,
1,10474973,,,0,Objective-C
1,13968342,,,2,C#
2,13968489,,13968342,0,
2,13969860,,13968342,2,
2,13971301,,13968342,1,
1,27589741,,,0,JavaScript
2,27589808,,27589741,1,
1,26205732,,,0,C++
1,14203577,,,1,C#
2,14203661,,14203577,1,
1,20637642,,,0,C#
2,20638425,,20637642,1,
1,9356185,,,0,PHP
1,26204698,,,0,Perl
1,2887481,,,0,Java
1,3274197,,,3,C#
1,1326658,,,0,Java
2,1328521,,1326658,1,
1,3566302,,,0,Java
1,7234417,,,4,Haskell
2,7234464,,7234417,9,
1,11336812,,,2,CSS
1,19551425,,,0,CSS
2,19551719,,19551425,0,
1,9884559,,,0,Java
1,20300558,,,0,PHP
1,6383952,,,4,PHP
1,14993553,,,2,CSS
1,28061245,,,0,Java
1,16757557,,,-3,Objective-C
1,18697858,,,1,C++
1,27071190,,,0,Haskell
1,3761211,,,1,Perl
2,3761268,,3761211,1,
2,3761275,,3761211,4,
2,3761512,,3761211,1,
1,3127369,,,3,JavaScript
2,3134860,,3127369,0,
2,3141827,,3127369,2,
1,23976945,,,-2,Java
1,6058242,,,6,JavaScript
2,6058278,,6058242,12,
1,1798679,,,2,Java
2,1798718,,1798679,3,
2,1798720,,1798679,3,
1,9013414,,,1,C++
2,9013566,,9013414,2,
1,7669731,,,0,Haskell
2,7689336,,7669731,7,
1,1312182,,,1,C#
2,1312215,,1312182,1,
2,1312710,,1312182,0,
1,12260174,,,4,JavaScript
1,22225349,,,1,C#
2,22300390,,22225349,0,
1,25049203,,,0,Python
1,5395965,,,2,Java
2,5396016,,5395965,0,
2,5396565,,5395965,1,
2,5396592,,5395965,0,
1,9954871,,,0,C#
2,9954892,,9954871,2,
1,7018311,,,0,C#
2,7022319,,7018311,0,
1,22119881,,,2,Java
1,16253999,,,0,PHP
1,3289190,,,1,C#
2,3289232,,3289190,0,
2,3290988,,3289190,0,
2,3291156,,3289190,0,
1,12022354,,,0,CSS
1,24324369,,,0,Python
2,24327302,,24324369,-1,
1,13029470,,,6,CSS
2,13029514,,13029470,4,
2,13029526,,13029470,0,
2,13029669,,13029470,2,
2,13029674,,13029470,4,
2,13029675,,13029470,0,
2,13030042,,13029470,0,
2,13030159,,13029470,1,
1,13230583,,,2,C#
